fund_code,transaction_date,apply_amt,redeem_amt,uv_key_page_1,uv_key_page_2,uv_key_page_3
000086,20240408,8358.782751,1349.977361,9559.923855,5347.503986,8274.228037
000192,20240408,18012.441653,5155.228975,4256.075394,2639.77208,4980.86875
000385,20240408,3694.173965,4514.292682,2616.460013,2421.486362,2923.755442
000402,20240408,5385.993877,2708.589186,3446.510885,2551.468796,3715.659295
000965,20240408,1767.037277,1962.359418,2574.074437,2401.0,2986.627381
001016,20240408,2759.23179,3120.231809,5230.943651,2401.0,6155.655643
001316,20240408,12095.470431,7611.059426,8274.228037,3206.325952,8799.102758
001338,20240408,9865.14874,10574.55219,6591.520654,3251.537233,7995.189659
001407,20240408,1349.977361,1349.977361,2420.073509,2401.706426,2438.440592
001480,20240408,5444.084434,5445.817227,8774.377839,2401.0,23242.694344
050027,20240408,46497.156564,11717.139882,14603.807447,4773.179426,13299.03812
100050,20240408,4829.874974,5157.414825,3353.262617,2526.03745,3604.043944
160717,20240408,1589.458897,1666.837599,3305.932056,2401.0,3361.739732
161024,20240408,8890.2536,6790.268898,11913.736198,2401.0,29214.822059
161028,20240408,33752.46732,31184.122104,63050.521276,2401.0,139095.896755
164402,20240408,10590.5566,64240.563811,16426.387232,2401.0,52144.006041
164906,20240408,13738.124336,25480.742505,45533.268975,2401.0,63104.209673
166016,20240408,4297.95822,1556.660625,2487.890432,2418.660657,2612.221456
168204,20240408,18195.846548,20136.353507,15387.94061,2401.0,54068.31121
530028,20240408,53271.006661,28178.718598,13292.680283,4985.813734,10616.031133
000086,20240409,9535.624072,1349.977361,11419.944232,6192.389809,8860.561844
000192,20240409,25622.530622,5916.054346,4739.977391,2713.946839,5194.209485
000385,20240409,4228.692455,3242.142334,2692.047625,2434.908461,2992.985217
000402,20240409,13736.279593,1827.020371,3670.448013,2597.386504,3854.825271
000965,20240409,1555.162733,2432.775299,2621.404997,2401.0,3039.609351
001016,20240409,2114.089121,3830.009257,5942.314909,2401.0,6762.475812
001316,20240409,8326.490911,8970.818337,9901.834171,3485.36433,9186.930782
001338,20240409,9839.238398,11210.338059,7598.178093,3467.703673,8455.073163
001407,20240409,1349.977361,1370.974781,2420.779936,2403.119279,2444.798429
001480,20240409,3577.587586,3415.664327,10493.112962,2401.0,24350.370741
050027,20240409,60175.819335,10190.313141,18048.341956,5601.111018,14345.255431
100050,20240409,5290.454229,2323.867006,3518.566365,2574.074437,3698.705064
